"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.015170400E-1,1.755875051E-1,1.475374997E-1,9.418749809E-2
1.039604250E-1,2.171124965E-1,1.414874941E-1,7.466249913E-2
1.064038100E-1,2.501125038E-1,1.390125006E-1,5.018749833E-2
1.088471950E-1,2.745875120E-1,1.354375035E-1,2.461249940E-2
1.112905800E-1,2.903999984E-1,1.342000067E-1,-6.049999967E-3
1.137339540E-1,2.953499854E-1,1.342000067E-1,-4.015000165E-2
1.161773390E-1,2.806375027E-1,1.231999993E-1,-8.167500049E-2
1.186207240E-1,2.549250126E-1,1.267749965E-1,-1.233374998E-1
1.210641080E-1,2.329249978E-1,1.500124931E-1,-1.586750001E-1
1.235074920E-1,2.158749998E-1,1.769624949E-1,-1.891999990E-1
1.259510850E-1,2.000624985E-1,2.087250054E-1,-2.149125040E-1
1.283944720E-1,1.841125041E-1,2.452999949E-1,-2.344374955E-1
1.308378570E-1,1.683000028E-1,2.734875083E-1,-2.479124963E-1
1.332812410E-1,1.511124969E-1,2.868250012E-1,-2.576749921E-1
1.357246260E-1,1.278750002E-1,2.880625129E-1,-2.613874972E-1
1.381679850E-1,1.071124971E-1,2.782999873E-1,-2.674374878E-1
1.406113700E-1,8.511249721E-2,2.587749958E-1,-2.699125111E-1
1.430547550E-1,5.582499877E-2,2.330625057E-1,-2.699125111E-1
1.454981390E-1,2.777500078E-2,2.037750036E-1,-2.686749995E-1
1.479415230E-1,-6.462499965E-3,1.671999991E-1,-2.674374878E-1
1.503848710E-1,-3.822499886E-2,1.317249984E-1,-2.576749921E-1
1.528282550E-1,-7.493750006E-2,1.060125008E-1,-2.503874898E-1
1.552716400E-1,-1.115124971E-1,7.191249728E-2,-2.454375029E-1
1.577150250E-1,-1.445125043E-1,3.767500073E-2,-2.429624945E-1
1.601584100E-1,-1.714625061E-1,1.691249944E-2,-2.381500006E-1
1.626018510E-1,-1.909874976E-1,-1.512499992E-3,-2.307250053E-1
1.650451600E-1,-2.019875050E-1,-1.732499897E-2,-2.222000062E-1
1.674886200E-1,-2.043250054E-1,-2.832499892E-2,-2.099625021E-1
1.699320060E-1,-1.982749999E-1,-3.327500075E-2,-1.929125041E-1
1.723753910E-1,-1.835625023E-1,-3.327500075E-2,-1.769624949E-1
1.748187560E-1,-1.665125042E-1,-2.708750032E-2,-1.611499935E-1
1.772621400E-1,-1.494625062E-1,-1.979999989E-2,-1.501500010E-1
1.797055250E-1,-1.297999918E-1,-1.127499994E-2,-1.428624988E-1
1.821489100E-1,-1.102750003E-1,-1.512499992E-3,-1.366750002E-1
1.845922940E-1,-8.951249719E-2,1.319999993E-2,-1.354375035E-1
1.870356400E-1,-7.369999588E-2,3.272499889E-2,-1.366750002E-1
1.894790240E-1,-5.651250109E-2,5.115000159E-2,-1.416250020E-1
1.919224080E-1,-3.822499886E-2,6.696250290E-2,-1.489125043E-1
1.943657930E-1,-1.993750036E-2,8.291249722E-2,-1.586750001E-1
1.968091780E-1,-3.987499978E-3,9.624999762E-2,-1.696749926E-1
1.992525240E-1,1.058750041E-2,1.060125008E-1,-1.794375032E-1
2.016959090E-1,2.406249940E-2,1.134374961E-1,-1.929125041E-1
2.041395230E-1,3.382499889E-2,1.182499975E-1,-2.063875049E-1
2.065829090E-1,4.482499883E-2,1.219625026E-1,-2.234375030E-1
