"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.089393700E-2,1.110114920E1,7.735510880E1,3.187364399E2,NaN,NaN,1.735600090E1,1.000000000E0
8.206803080E-1,1.110114920E1,7.735510880E1,3.187364399E2,NaN,NaN,2.245899963E1,2.020599842E0
2.668272616E0,1.110103500E1,7.735517167E1,3.107368329E2,9.424563646E-1,3.338399963E2,7.099999905E0,5.690000153E1
3.162344385E0,1.110104333E1,7.735512667E1,2.984367980E2,7.895838618E-1,3.262500000E2,3.700000048E0,2.360000038E1
4.164080308E0,1.110106500E1,7.735511833E1,2.970367216E2,5.430319309E-1,3.457799988E2,2.700000048E0,1.800000000E1
5.162532077E0,1.110107667E1,7.735510833E1,2.959366798E2,3.108922243E-1,9.000000358E-2,2.500000000E0,1.710000038E1
6.159422539E0,1.110108333E1,7.735509000E1,2.954366542E2,1.966238916E-1,8.529999733E0,2.200000048E0,1.560000038E1
7.163651693E0,1.110108167E1,7.735508333E1,2.942366591E2,8.595860749E-2,1.169400024E2,1.899999976E0,1.419999981E1
8.163284693E0,1.110108000E1,7.735508500E1,2.948366651E2,2.038300037E-1,5.781999969E1,1.600000024E0,1.369999981E1
9.907876616E0,1.110108333E1,7.735508833E1,2.961366540E2,1.827263832E-1,3.586000061E1,1.600000024E0,1.289999962E1
1.090859885E1,1.110108667E1,7.735508667E1,2.963366422E2,9.934139252E-2,5.995000076E1,1.600000024E0,1.310000038E1
1.190452254E1,1.110108667E1,7.735508500E1,2.964366420E2,8.492916822E-2,5.345000076E1,1.600000024E0,1.289999962E1
1.290638438E1,1.110109167E1,7.735508667E1,2.965366248E2,1.240480542E-1,8.430000305E0,1.600000024E0,1.300000000E1
1.390556616E1,1.110109167E1,7.735508500E1,2.969366246E2,1.183861122E-1,5.329999924E0,1.600000024E0,1.289999962E1
1.490813516E1,1.110109167E1,7.735508833E1,2.970366250E2,1.925061047E-1,3.538999939E1,1.500000000E0,1.289999962E1
1.590733608E1,1.110109167E1,7.735509000E1,2.974366252E2,2.825824916E-1,2.269000053E1,1.500000000E0,1.319999981E1
1.690620746E1,1.110109667E1,7.735508833E1,2.978366076E2,5.811213851E-1,3.473099976E2,1.500000000E0,1.289999962E1
1.791157762E1,1.110110667E1,7.735508833E1,2.977365729E2,1.606448054E0,3.228099976E2,1.500000000E0,1.280000019E1
1.890778069E1,1.110113000E1,7.735507667E1,2.981364903E2,2.971491337E0,3.394700012E2,1.500000000E0,1.269999981E1
1.990587208E1,1.110117167E1,7.735506500E1,2.983363439E2,4.644853115E0,3.469400024E2,1.500000000E0,1.239999962E1
2.090708469E1,1.110122500E1,7.735505333E1,2.981361570E2,6.160710335E0,3.476900024E2,1.500000000E0,1.230000019E1
2.190928123E1,1.110128500E1,7.735504167E1,2.980359469E2,6.631680965E0,3.481600037E2,1.500000000E0,1.260000038E1
2.290948185E1,1.110134667E1,7.735503000E1,2.980357310E2,3.012154341E0,3.489100037E2,1.600000024E0,1.319999981E1
2.390564162E1,1.110140833E1,7.735501833E1,2.979355152E2,3.674602032E0,3.510100098E2,1.600000024E0,1.319999981E1
2.490936092E1,1.110147167E1,7.735501000E1,2.973352939E2,4.317490101E0,3.569800110E2,1.600000024E0,1.300000000E1
2.590540377E1,1.110153333E1,7.735500500E1,2.967350789E2,4.939789295E0,3.567099915E2,1.600000024E0,1.330000019E1
2.690989385E1,1.110159333E1,7.735500000E1,2.968348697E2,5.486423969E0,2.800000012E-1,1.600000024E0,1.210000038E1
2.790959639E1,1.110165167E1,7.735499500E1,2.960346663E2,5.878642559E0,3.579299927E2,1.500000000E0,1.189999962E1
2.890791354E1,1.110170500E1,7.735498167E1,2.964344791E2,6.095340729E0,3.558299866E2,1.700000048E0,1.189999962E1
2.990818069E1,1.110175167E1,7.735497000E1,2.964343154E2,6.121591568E0,3.555199890E2,1.500000000E0,1.189999962E1
3.090816869E1,1.110179000E1,7.735496333E1,2.963341813E2,5.902319908E0,3.437500000E2,1.399999976E0,1.180000019E1
3.190742769E1,1.110182000E1,7.735494833E1,2.962340750E2,5.608928204E0,3.265799866E2,1.299999952E0,1.169999981E1
3.290344869E1,1.110184333E1,7.735492500E1,2.961339908E2,5.233695507E0,3.126000061E2,1.299999952E0,1.150000000E1
3.390464677E1,1.110185833E1,7.735490500E1,2.959339360E2,4.812652588E0,2.923599854E2,1.299999952E0,1.169999981E1
3.490936000E1,1.110186167E1,7.735487833E1,2.949339209E2,4.377712727E0,2.700100098E2,1.500000000E0,1.100000000E1
3.590892462E1,1.110185833E1,7.735486000E1,2.945339301E2,3.949978352E0,2.642799988E2,1.399999976E0,1.069999981E1
3.691093877E1,1.110185833E1,7.735484167E1,2.938339277E2,3.591217041E0,2.577000122E2,1.500000000E0,1.069999981E1
3.791017731E1,1.110185667E1,7.735482167E1,2.928339308E2,3.313781738E0,2.702200012E2,1.500000000E0,1.089999962E1
3.890919570E1,1.110185500E1,7.735480333E1,2.920339342E2,2.988477230E0,2.555899963E2,1.600000024E0,1.100000000E1
3.990739239E1,1.110185500E1,7.735479167E1,2.912339327E2,2.638980865E0,2.556499939E2,1.600000024E0,1.100000000E1
4.090727908E1,1.110185000E1,7.735477833E1,2.911339483E2,2.363089800E0,2.614299927E2,1.600000024E0,1.089999962E1
4.190869085E1,1.110185333E1,7.735477500E1,2.908339363E2,2.075360060E0,2.401199951E2,1.600000024E0,1.110000038E1
4.290766470E1,1.110185167E1,7.735477000E1,2.904339414E2,1.871530056E0,2.553800049E2,1.600000024E0,1.110000038E1
4.390465846E1,1.110184833E1,7.735475833E1,2.903339514E2,1.741819978E0,2.552899933E2,1.600000024E0,1.130000019E1
4.491276554E1,1.110184833E1,7.735475167E1,2.904339506E2,1.562696695E0,2.629200134E2,1.600000024E0,1.130000019E1
4.591073416E1,1.110184333E1,7.735474333E1,2.907339668E2,1.407250524E0,2.632999878E2,1.600000024E0,1.130000019E1
4.691468870E1,1.110184167E1,7.735473167E1,2.910339711E2,1.262613654E0,2.647200012E2,1.600000024E0,1.139999962E1
4.790525762E1,1.110183833E1,7.735471833E1,2.913339809E2,1.170478344E0,2.704599915E2,1.600000024E0,1.139999962E1
4.891257085E1,1.110184000E1,7.735470167E1,2.918339729E2,1.151948333E0,2.657999878E2,1.700000048E0,1.160000038E1
4.990385177E1,1.110184333E1,7.735468667E1,2.919339594E2,1.232759714E0,2.678699951E2,1.700000048E0,1.139999962E1
5.090792346E1,1.110184000E1,7.735466333E1,2.923339679E2,1.305335522E0,2.636300049E2,1.700000048E0,1.160000038E1
5.190524008E1,1.110183500E1,7.735464333E1,2.933339826E2,1.372764111E0,2.659599915E2,1.700000048E0,1.160000038E1
5.290887354E1,1.110183000E1,7.735462500E1,2.940339976E2,1.394382477E0,2.620599976E2,1.700000048E0,1.160000038E1
5.390449323E1,1.110182500E1,7.735461333E1,2.949340134E2,1.413941979E0,2.635700073E2,1.600000024E0,1.169999981E1
5.490454462E1,1.110182333E1,7.735459833E1,2.955340172E2,1.529239774E0,2.593200073E2,1.700000048E0,1.169999981E1
5.590861239E1,1.110181667E1,7.735458500E1,2.959340387E2,1.596153617E0,2.562799988E2,1.700000048E0,1.189999962E1
5.691268223E1,1.110181333E1,7.735457167E1,2.966340485E2,1.625492811E0,2.577399902E2,1.700000048E0,1.189999962E1
5.790401600E1,1.110181000E1,7.735456000E1,2.972340585E2,1.526666164E0,2.506399994E2,1.700000048E0,1.180000019E1
5.890691762E1,1.110180667E1,7.735455500E1,2.980340695E2,1.395926714E0,2.370299988E2,1.600000024E0,1.169999981E1
5.991077731E1,1.110180667E1,7.735455000E1,2.985340688E2,1.215773940E0,2.516300049E2,1.600000024E0,1.180000019E1
6.090483423E1,1.110180500E1,7.735454333E1,2.986340737E2,1.069078088E0,2.611199951E2,1.500000000E0,1.180000019E1
6.190652347E1,1.110180333E1,7.735453667E1,2.989340786E2,9.738544226E-1,2.626700134E2,1.500000000E0,1.160000038E1
6.290866624E1,1.110180000E1,7.735452333E1,2.988340885E2,9.918697476E-1,2.624400024E2,1.500000000E0,1.160000038E1
6.390832593E1,1.110179333E1,7.735450000E1,2.991341086E2,1.067533851E0,2.589800110E2,1.600000024E0,1.139999962E1
