"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.470586000E-3,-4.570500255E-1,-3.970500231E-1,9.513000488E0
1.091445500E-2,-5.530500412E-1,-3.529500067E-1,9.552000046E0
1.336082700E-2,-6.079500318E-1,-3.180000186E-1,9.583050728E0
1.580646000E-2,-7.009500265E-1,-2.550000250E-1,9.658950806E0
1.834484500E-2,-8.020500541E-1,-1.879500151E-1,9.742950439E0
2.078792300E-2,-9.240000248E-1,-7.800000161E-2,9.834000587E0
2.323069300E-2,-1.021950006E0,3.600000218E-2,9.892050743E0
2.567346200E-2,-1.081950068E0,1.510500014E-1,9.976050377E0
2.811624500E-2,-1.120050073E0,2.230500132E-1,1.003095055E1
3.055909100E-2,-1.120050073E0,2.800500095E-1,1.004700089E1
3.300186100E-2,-1.137000084E0,3.210000098E-1,1.001895046E1
3.544485900E-2,-1.141950011E0,3.520500064E-1,9.931950569E0
3.788770700E-2,-1.150950074E0,3.690000176E-1,9.886950493E0
4.033080000E-2,-1.171050072E0,3.300000131E-1,9.838950157E0
4.277387700E-2,-1.195050001E0,3.259500265E-1,9.772050858E0
4.521718400E-2,-1.222950101E0,3.109500110E-1,9.729000092E0
4.766034000E-2,-1.221000075E0,2.490000129E-1,9.700050354E0
5.010364600E-2,-1.240050077E0,2.299500108E-1,9.682950020E0
5.254704300E-2,-1.222950101E0,1.840500087E-1,9.657000542E0
5.499042800E-2,-1.210950017E0,1.699500084E-1,9.595050812E0
5.743381300E-2,-1.173000097E0,1.410000026E-1,9.496950150E0
5.987719700E-2,-1.105949998E0,8.100000024E-2,9.436950684E0
6.232058200E-2,-1.048950076E0,5.505000427E-2,9.388950348E0
6.476398500E-2,-9.310500622E-1,-9.000000544E-3,9.379050255E0
6.720737000E-2,-8.260500431E-1,-4.200000316E-2,9.397950172E0
6.965075500E-2,-7.200000286E-1,-1.090500057E-1,9.457950592E0
7.209414000E-2,-6.250500083E-1,-1.909500062E-1,9.556950569E0
7.453752500E-2,-5.910000205E-1,-2.650500238E-1,9.670950890E0
7.698089400E-2,-5.460000038E-1,-3.490500152E-1,9.813000679E0
7.942427800E-2,-5.190000534E-1,-4.279500246E-1,9.930000305E0
8.186743200E-2,-5.269500017E-1,-5.040000081E-1,1.003800011E1
8.431081500E-2,-5.269500017E-1,-5.470499992E-1,1.009500027E1
8.675443000E-2,-4.860000312E-1,-6.240000129E-1,1.012905025E1
8.919760000E-2,-4.159500301E-1,-6.720000505E-1,1.016895008E1
9.164121300E-2,-3.370500207E-1,-7.219500542E-1,1.018095016E1
9.408436900E-2,-2.659500241E-1,-7.440000176E-1,1.016505051E1
9.652798300E-2,-2.419500053E-1,-7.819500566E-1,1.011000061E1
9.897136900E-2,-1.939500123E-1,-7.960500121E-1,1.005495071E1
1.014145360E-1,-1.510500014E-1,-8.179500103E-1,9.967950821E0
1.038579190E-1,-7.905000448E-2,-8.179500103E-1,9.904050827E0
1.063013030E-1,-9.105000645E-2,-8.280000687E-1,9.877050400E0
1.087446880E-1,-9.300000221E-2,-7.920000553E-1,9.834000587E0
1.111880760E-1,-1.319999993E-1,-7.720500231E-1,9.805950165E0
1.136314600E-1,-2.490000129E-1,-7.009500265E-1,9.798000336E0
1.160748450E-1,-3.090000153E-1,-6.550500393E-1,9.838950157E0
1.185184600E-1,-3.919500113E-1,-5.980500579E-1,9.858000755E0
1.209616160E-1,-4.620000124E-1,-5.190000534E-1,9.829050064E0
1.234050030E-1,-4.759500325E-1,-4.249500334E-1,9.736050606E0
1.258483870E-1,-4.930500090E-1,-3.559500277E-1,9.613950729E0
1.282917720E-1,-4.930500090E-1,-3.319500089E-1,9.535050392E0
1.307351570E-1,-5.290500522E-1,-2.719500065E-1,9.454050064E0
1.331785410E-1,-5.839500427E-1,-2.149500102E-1,9.397950172E0
1.356219060E-1,-6.270000339E-1,-1.950000077E-1,9.346050262E0
1.380652910E-1,-6.730500460E-1,-1.500000060E-1,9.298050880E0
1.405086760E-1,-7.200000286E-1,-1.020000055E-1,9.300000191E0
1.429520610E-1,-7.110000253E-1,-6.599999964E-2,9.286050797E0
1.453954460E-1,-7.519500256E-1,-4.005000368E-2,9.244950294E0
1.478388100E-1,-7.950000167E-1,-1.020000055E-1,9.171000481E0
1.502821950E-1,-9.000000358E-1,-3.100500107E-1,8.950950623E0
1.527255790E-1,-1.105949998E0,-2.839500010E-1,9.007950783E0
