"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.065583300E-2,-3.586875153E1,-2.193750000E1,-1.151250076E1
6.065709300E-2,-3.751875305E1,-2.214375114E1,-1.063125038E1
8.066605200E-2,-3.793125153E1,-2.184375000E1,-1.040625000E1
1.006875530E-1,-3.802500153E1,-2.165625000E1,-1.031250000E1
1.207164810E-1,-3.832500076E1,-2.186250114E1,-9.993750572E0
1.407702190E-1,-3.753750229E1,-2.176875114E1,-1.021875000E1
1.607947730E-1,-3.772500229E1,-2.201250076E1,-9.375000000E0
1.808063860E-1,-3.781875229E1,-2.231250000E1,-9.168750763E0
2.008185510E-1,-3.761250305E1,-2.250000000E1,-9.487500191E0
2.208208010E-1,-3.808125305E1,-2.311875153E1,-8.643750191E0
2.408143580E-1,-3.738750076E1,-2.341875076E1,-9.093750000E0
2.608047320E-1,-3.736875153E1,-2.371875000E1,-9.187500000E0
2.808027160E-1,-3.746250153E1,-2.405625153E1,-8.362500191E0
3.007960300E-1,-3.733125305E1,-2.486250114E1,-8.156250000E0
3.207974030E-1,-3.723750305E1,-2.476875114E1,-8.062500000E0
3.407940680E-1,-3.714375305E1,-2.490000153E1,-7.556250095E0
3.607875560E-1,-3.675000000E1,-2.521875191E1,-7.350000381E0
3.807896850E-1,-3.581250000E1,-2.651250076E1,-7.706250191E0
4.007869900E-1,-3.562500000E1,-2.655000114E1,-7.293750286E0
4.207809160E-1,-3.558750153E1,-2.703750038E1,-7.293750286E0
4.407834020E-1,-3.549375153E1,-2.735625076E1,-7.200000286E0
4.607805180E-1,-3.468750000E1,-2.812500191E1,-6.300000191E0
4.807871870E-1,-3.416250229E1,-2.917500114E1,-5.587500095E0
5.007880660E-1,-3.326250076E1,-2.990625191E1,-5.212500095E0
5.207844390E-1,-3.236250305E1,-3.073125076E1,-3.468750238E0
5.407888370E-1,-3.121875191E1,-3.238125229E1,-3.000000000E0
5.607904810E-1,-3.001875114E1,-3.360000229E1,-1.275000095E0
5.807969310E-1,-2.870625114E1,-3.487500000E1,-6.000000238E-1
6.007651300E-1,-2.731875038E1,-3.573750305E1,-1.125000045E-1
6.207685730E-1,-2.643750191E1,-3.615000153E1,1.518750072E0
6.407678710E-1,-2.424375153E1,-3.778125000E1,2.793750048E0
6.607749280E-1,-2.276250076E1,-3.836250305E1,3.581250191E0
6.807995690E-1,-2.055000114E1,-4.021875000E1,3.600000143E0
7.008031700E-1,-1.978125000E1,-4.033125305E1,5.025000095E0
7.208009580E-1,-1.715625000E1,-4.083750153E1,7.443750381E0
7.407945810E-1,-1.620000076E1,-4.098750305E1,9.281250000E0
7.607966150E-1,-1.635000038E1,-4.140000153E1,8.043750763E0
7.807931820E-1,-1.537500095E1,-4.138125229E1,7.181250095E0
8.007985610E-1,-1.449375057E1,-4.160625076E1,7.143750191E0
8.207984460E-1,-1.477500057E1,-4.179375076E1,7.050000191E0
8.407940660E-1,-1.368750095E1,-4.235625076E1,7.650000095E0
8.607865550E-1,-1.329375076E1,-4.248750305E1,8.156250000E0
8.807878770E-1,-1.303125095E1,-4.252500153E1,1.042500019E1
9.007857410E-1,-1.245000076E1,-4.239375305E1,1.113750076E1
9.207811700E-1,-1.117500019E1,-4.284375000E1,1.140000057E1
9.407834110E-1,-1.031250000E1,-4.246875000E1,1.117500019E1
9.607813430E-1,-8.456250191E0,-4.265625000E1,1.185000038E1
9.807871330E-1,-7.387500286E0,-4.306875229E1,1.336875057E1
1.000844418E0,-6.131250381E0,-4.290000153E1,1.468125057E1
1.020827868E0,-6.056250095E0,-4.273125076E1,1.531875038E1
1.040820367E0,-5.512500286E0,-4.224375153E1,1.676250076E1
1.060809744E0,-5.062500000E0,-4.168125153E1,1.903125000E1
1.080796985E0,-3.993750095E0,-4.010625076E1,2.182500076E1
1.100793017E0,-1.091250038E1,-4.432500076E1,2.889375114E1
1.120787895E0,-1.033125019E1,-4.275000000E1,3.232500076E1
1.140747911E0,-1.053750038E1,-4.098750305E1,3.451875305E1
1.160757029E0,-1.068750000E1,-3.819375229E1,3.755625153E1
1.180761660E0,-1.080000019E1,-3.596250153E1,4.016250229E1
1.200773294E0,-9.656250000E0,-3.170625114E1,4.306875229E1
1.220801541E0,-9.600000381E0,-2.893125153E1,4.496250153E1
1.240796896E0,-1.048125076E1,-2.467500114E1,4.710000229E1
1.260799300E0,-1.141875076E1,-2.113125038E1,4.788750076E1
1.280796542E0,-1.413750076E1,-1.693125153E1,4.882500076E1
1.300790240E0,-1.560000038E1,-1.453125095E1,4.929375076E1
1.320791280E0,-1.779375076E1,-1.123125076E1,4.968750381E1
1.340789466E0,-1.987500000E1,-7.725000381E0,4.863750076E1
1.360783610E0,-1.968750000E1,-5.475000381E0,4.875000381E1
1.380786286E0,-1.925625038E1,-1.931250095E0,4.897500229E1
1.400784338E0,-1.820625114E1,1.481250048E0,4.771875000E1
1.420778983E0,-1.546875095E1,6.093750477E0,4.704375076E1
1.440782442E0,-1.447500038E1,1.035000038E1,4.642500305E1
1.460771386E0,-1.378125095E1,1.498125076E1,4.488750076E1
1.480779914E0,-1.370625019E1,1.837500000E1,4.271250153E1
1.500782792E0,-1.303125095E1,2.113125038E1,4.074375153E1
1.520780824E0,-1.179375076E1,2.261250114E1,3.853125000E1
1.540831943E0,-1.106250000E1,2.360625076E1,3.810000229E1
1.560822079E0,-1.038750076E1,2.407500076E1,3.810000229E1
1.580808804E0,-1.293750048E0,3.084375191E1,3.084375191E1
1.600804922E0,-6.000000238E-1,3.071250153E1,3.091875076E1
1.620797557E0,-6.000000238E-1,3.071250153E1,3.082500076E1
1.640786780E0,3.750000000E-1,3.099375153E1,3.046875191E1
1.660775837E0,-0.000000000E0,3.076875114E1,2.955000114E1
1.680731554E0,-8.812500238E-1,3.067500114E1,2.988750076E1
1.700748462E0,-2.043750048E0,3.058125114E1,3.045000076E1
1.720759286E0,-1.837500095E0,3.030000114E1,3.022500038E1
1.740764630E0,-1.950000048E0,3.035625076E1,3.095625114E1
1.760787552E0,-2.118750095E0,2.943750191E1,3.148125076E1
1.780790214E0,-3.281250238E0,2.955000114E1,3.202500153E1
1.800787385E0,-3.393750191E0,2.986875153E1,3.140625191E1
1.820791876E0,-4.106250286E0,3.050625038E1,3.123750114E1
1.840791363E0,-3.806250095E0,3.039375114E1,3.121875191E1
